source,target,weight
0,0,0.0
0,1,0.3108461333377782
0,2,0.29268485142550055
0,3,0.29404534866365406
0,4,0.29438565323398364
0,5,0.16581806755491957
0,6,0.3174618479746408
0,7,0.38923669555334406
0,8,0.42685039264192465
0,9,0.48397391124245476
0,10,0.2978794024267257
0,11,0.2969114303819733
0,12,0.29686100778656377
0,13,0.2956012659916999
0,14,0.2961789274899848
0,15,0.2965330065227425
0,16,0.296634275618216
0,17,0.1697840937224783
0,18,0.1437240052637464
0,19,0.1404900020044356
0,20,0.17622839760494052
0,21,0.139935858350653
0,22,0.279487517269226
0,23,0.30155860753980307
0,24,0.29428372272427844
0,25,0.29683012767324224
0,26,0.3018489144646262
0,27,0.22132507049836206
0,28,0.1605224477197923
0,29,0.09704396424031397
0,30,0.3106073222264229
0,31,0.29175195316320174
0,32,0.2969529873895984
0,33,0.1900304978966525
0,34,0.16783737711220129
0,35,0.27703425511879626
0,36,0.24654727480853394
0,37,0.2750552625003424
0,38,0.23023931374498016
0,39,0.9958366523727528
0,40,0.12374515705986074
0,41,0.1941672469228834
0,42,0.11892061351386879
0,43,0.27807386516913873
0,44,0.292370131860805
0,45,0.29530575042946183
0,46,0.29603498759549507
0,47,0.2870926669744889
0,48,0.29164733733295056
0,49,0.2918601594897738
0,50,0.28729430059413064
0,51,0.29793079440184067
0,52,0.40782507433266274
0,53,0.39566409080800286
0,54,0.365011684693965
0,55,0.37494027674350716
0,56,0.37969791769946526
0,57,0.36482259724642885
0,58,0.37974476019375136
0,59,0.4083632786848622
0,60,0.36653057023243507
0,61,0.3673267400699461
0,62,0.36644476558520284
0,63,0.3617794474156934
0,64,0.38266722857849295
0,65,0.35611921245068573
0,66,0.3667518152247801
0,67,0.37395470373025624
0,68,0.4031200766317112
0,69,0.35723674455432936
0,70,0.40566062539475406
0,71,0.3680030030355029
0,72,0.41822620853769193
0,73,0.34819291529714796
0,74,0.3966291008289013
0,75,0.36253783875071277
0,76,0.3684586970694828
0,77,0.36327869069417357
0,78,0.3565203721188525
1,0,0.3108461333377782
1,1,0.0
1,2,0.13749883485864509
1,3,0.18448606187586172
1,4,0.14125082562575678
1,5,0.33842289742975945
